thirdMeshCode,大分類,企業数,従業員数,売上高,lowerLeft_lng,lowerLeft_lat,lowerRight_lng,lowerRight_lat,upperRight_lng,upperRight_lat,upperLeft_lng,upperLeft_lat,center_lng,center_lat
52335135,E_建設業,1,14,155,133.1875,35.10833333,133.2,35.10833333,133.2,35.11666667,133.1875,35.11666667,133.19375,35.1125
52335136,E_建設業,1,4,115,133.2,35.10833333,133.2125,35.10833333,133.2125,35.11666667,133.2,35.11666667,133.20625,35.1125
52335235,A_農業,1,1,95,133.3125,35.10833333,133.325,35.10833333,133.325,35.11666667,133.3125,35.11666667,133.31875,35.1125
52335254,A_農業,1,5,100,133.3,35.125,133.3125,35.125,133.3125,35.13333333,133.3,35.13333333,133.30625,35.12916666
52335276,E_建設業,2,31,412,133.325,35.14166667,133.3375,35.14166667,133.3375,35.15,133.325,35.15,133.33125,35.14583333
52335276,L_サービス業,2,134,942,133.325,35.14166667,133.3375,35.14166667,133.3375,35.15,133.325,35.15,133.33125,35.14583333
52335281,E_建設業,1,13,294,133.2625,35.15,133.275,35.15,133.275,35.15833333,133.2625,35.15833333,133.26875,35.15416666
52335282,G_卸・小売業，飲食店,1,,21,133.275,35.15,133.2875,35.15,133.2875,35.15833333,133.275,35.15833333,133.28125,35.15416666
52335285,F_製造業,1,55,805,133.3125,35.15,133.325,35.15,133.325,35.15833333,133.3125,35.15833333,133.31875,35.15416666
52335293,E_建設業,1,83,1023,133.2875,35.15833333,133.3,35.15833333,133.3,35.16666667,133.2875,35.16666667,133.29375,35.1625
52335293,F_製造業,1,2,90,133.2875,35.15833333,133.3,35.15833333,133.3,35.16666667,133.2875,35.16666667,133.29375,35.1625
52335293,J_運輸・通信業,1,8,122,133.2875,35.15833333,133.3,35.15833333,133.3,35.16666667,133.2875,35.16666667,133.29375,35.1625
52335293,L_サービス業,1,,9,133.2875,35.15833333,133.3,35.15833333,133.3,35.16666667,133.2875,35.16666667,133.29375,35.1625
52335294,E_建設業,1,6,182,133.3,35.15833333,133.3125,35.15833333,133.3125,35.16666667,133.3,35.16666667,133.30625,35.1625
52335294,F_製造業,1,,12,133.3,35.15833333,133.3125,35.15833333,133.3125,35.16666667,133.3,35.16666667,133.30625,35.1625
52335294,L_サービス業,1,6,42,133.3,35.15833333,133.3125,35.15833333,133.3125,35.16666667,133.3,35.16666667,133.30625,35.1625
52335294,M_公務,1,70,,133.3,35.15833333,133.3125,35.15833333,133.3125,35.16666667,133.3,35.16666667,133.30625,35.1625
52335295,B_林業，狩猟業,1,11,110,133.3125,35.15833333,133.325,35.15833333,133.325,35.16666667,133.3125,35.16666667,133.31875,35.1625
52335295,E_建設業,1,16,103,133.3125,35.15833333,133.325,35.15833333,133.325,35.16666667,133.3125,35.16666667,133.31875,35.1625
52335295,G_卸・小売業，飲食店,4,16,785,133.3125,35.15833333,133.325,35.15833333,133.325,35.16666667,133.3125,35.16666667,133.31875,35.1625
52336147,A_農業,1,9,300,133.2125,35.2,133.225,35.2,133.225,35.20833333,133.2125,35.20833333,133.21875,35.20416667
52336204,E_建設業,1,20,430,133.3,35.16666667,133.3125,35.16666667,133.3125,35.175,133.3,35.175,133.30625,35.17083333
52336204,J_運輸・通信業,1,8,98,133.3,35.16666667,133.3125,35.16666667,133.3125,35.175,133.3,35.175,133.30625,35.17083333
52336204,L_サービス業,2,10,654,133.3,35.16666667,133.3125,35.16666667,133.3125,35.175,133.3,35.175,133.30625,35.17083333
52336205,G_卸・小売業，飲食店,2,3,236,133.3125,35.16666667,133.325,35.16666667,133.325,35.175,133.3125,35.175,133.31875,35.17083333
52336226,J_運輸・通信業,1,5,29,133.325,35.18333333,133.3375,35.18333333,133.3375,35.19166667,133.325,35.19166667,133.33125,35.1875
52336243,G_卸・小売業，飲食店,1,1,11,133.2875,35.2,133.3,35.2,133.3,35.20833333,133.2875,35.20833333,133.29375,35.20416667
52336243,J_運輸・通信業,1,10,110,133.2875,35.2,133.3,35.2,133.3,35.20833333,133.2875,35.20833333,133.29375,35.20416667
52336275,J_運輸・通信業,1,17,280,133.3125,35.225,133.325,35.225,133.325,35.23333333,133.3125,35.23333333,133.31875,35.22916667
52336340,B_林業，狩猟業,1,6,42,133.375,35.2,133.3875,35.2,133.3875,35.20833333,133.375,35.20833333,133.38125,35.20416667
